pair,source_run,side_A,side_B
pair-01,08-failure-ordinary__plain__02.md,candidate 0c0dce73,baseline f098fd5b
pair-02,08-failure-ordinary__plain__01.md,baseline f098fd5b,candidate 0c0dce73
pair-03,01-empty__plain__04.md,candidate 0c0dce73,baseline f098fd5b
pair-04,02-new-mix__taste-explicit__04.md,baseline f098fd5b,candidate 0c0dce73
pair-05,06-exclusion-plain__unrelated-plain__05.md,candidate 0c0dce73,baseline f098fd5b
pair-06,03-state-rich__plain__01.md,candidate 0c0dce73,baseline f098fd5b
pair-07,01-empty__constrained__04.md,baseline f098fd5b,candidate 0c0dce73
pair-08,06-exclusion-plain__unrelated-plain__03.md,baseline f098fd5b,candidate 0c0dce73
pair-09,06-exclusion-plain__unrelated-plain__02.md,baseline f098fd5b,candidate 0c0dce73
pair-10,06-exclusion-plain__unrelated-plain__01.md,baseline f098fd5b,candidate 0c0dce73
pair-11,01-empty__plain__03.md,baseline f098fd5b,candidate 0c0dce73
pair-12,02-new-mix__plain__04.md,baseline f098fd5b,candidate 0c0dce73
pair-13,02-new-mix__plain__05.md,candidate 0c0dce73,baseline f098fd5b
pair-14,04-contradictory__plain__04.md,candidate 0c0dce73,baseline f098fd5b
pair-15,03-state-rich__plain__02.md,candidate 0c0dce73,baseline f098fd5b
pair-16,08-failure-ordinary__plain__04.md,candidate 0c0dce73,baseline f098fd5b
pair-17,01-empty__constrained__01.md,baseline f098fd5b,candidate 0c0dce73
pair-18,07-failure-explicit__taste-explicit__04.md,baseline f098fd5b,candidate 0c0dce73
pair-19,03-state-rich__plain__03.md,baseline f098fd5b,candidate 0c0dce73
pair-20,04-contradictory__plain__01.md,candidate 0c0dce73,baseline f098fd5b
pair-21,01-empty__plain__05.md,candidate 0c0dce73,baseline f098fd5b
pair-22,02-new-mix__taste-explicit__05.md,baseline f098fd5b,candidate 0c0dce73
pair-23,03-state-rich__taste-explicit__01.md,baseline f098fd5b,candidate 0c0dce73
pair-24,01-empty__plain__01.md,baseline f098fd5b,candidate 0c0dce73
pair-25,01-empty__constrained__02.md,candidate 0c0dce73,baseline f098fd5b
pair-26,05-exclusion-explicit__taste-explicit-named-mix__05.md,candidate 0c0dce73,baseline f098fd5b
pair-27,07-failure-explicit__taste-explicit__03.md,baseline f098fd5b,candidate 0c0dce73
pair-28,01-empty__constrained__05.md,baseline f098fd5b,candidate 0c0dce73
pair-29,02-new-mix__plain__03.md,baseline f098fd5b,candidate 0c0dce73
pair-30,04-contradictory__plain__02.md,candidate 0c0dce73,baseline f098fd5b
pair-31,02-new-mix__taste-explicit__02.md,candidate 0c0dce73,baseline f098fd5b
pair-32,08-failure-ordinary__plain__03.md,candidate 0c0dce73,baseline f098fd5b
pair-33,03-state-rich__taste-explicit__02.md,baseline f098fd5b,candidate 0c0dce73
pair-34,03-state-rich__taste-explicit__05.md,baseline f098fd5b,candidate 0c0dce73
pair-35,05-exclusion-explicit__taste-explicit-named-mix__01.md,candidate 0c0dce73,baseline f098fd5b
pair-36,02-new-mix__taste-explicit__03.md,baseline f098fd5b,candidate 0c0dce73
pair-37,03-state-rich__taste-explicit__03.md,candidate 0c0dce73,baseline f098fd5b
pair-38,02-new-mix__plain__02.md,baseline f098fd5b,candidate 0c0dce73
pair-39,07-failure-explicit__taste-explicit__05.md,candidate 0c0dce73,baseline f098fd5b
pair-40,07-failure-explicit__taste-explicit__01.md,candidate 0c0dce73,baseline f098fd5b
pair-41,04-contradictory__plain__05.md,candidate 0c0dce73,baseline f098fd5b
pair-42,04-contradictory__taste-explicit__05.md,baseline f098fd5b,candidate 0c0dce73
pair-43,04-contradictory__taste-explicit__01.md,baseline f098fd5b,candidate 0c0dce73
pair-44,07-failure-explicit__taste-explicit__02.md,candidate 0c0dce73,baseline f098fd5b
pair-45,04-contradictory__taste-explicit__04.md,candidate 0c0dce73,baseline f098fd5b
pair-46,04-contradictory__taste-explicit__02.md,baseline f098fd5b,candidate 0c0dce73
pair-47,08-failure-ordinary__plain__05.md,baseline f098fd5b,candidate 0c0dce73
pair-48,03-state-rich__taste-explicit__04.md,candidate 0c0dce73,baseline f098fd5b
pair-49,04-contradictory__taste-explicit__03.md,baseline f098fd5b,candidate 0c0dce73
pair-50,06-exclusion-plain__unrelated-plain__04.md,candidate 0c0dce73,baseline f098fd5b
pair-51,02-new-mix__taste-explicit__01.md,baseline f098fd5b,candidate 0c0dce73
pair-52,04-contradictory__plain__03.md,candidate 0c0dce73,baseline f098fd5b
pair-53,03-state-rich__plain__04.md,baseline f098fd5b,candidate 0c0dce73
pair-54,01-empty__plain__02.md,baseline f098fd5b,candidate 0c0dce73
pair-55,05-exclusion-explicit__taste-explicit-named-mix__02.md,candidate 0c0dce73,baseline f098fd5b
pair-56,02-new-mix__plain__01.md,candidate 0c0dce73,baseline f098fd5b
pair-57,03-state-rich__plain__05.md,candidate 0c0dce73,baseline f098fd5b
pair-58,05-exclusion-explicit__taste-explicit-named-mix__04.md,candidate 0c0dce73,baseline f098fd5b
pair-59,01-empty__constrained__03.md,candidate 0c0dce73,baseline f098fd5b
pair-60,05-exclusion-explicit__taste-explicit-named-mix__03.md,baseline f098fd5b,candidate 0c0dce73
