run,fixture,prompt,run_no,ac,kind,flagged_title,flagged_state,quote,adjudication,reason,effect_on_verdict
01-empty__constrained__02.md,01-empty,constrained,02,AC1,commitment-cue-count,,,0 commitment cues,dismissed,"lead Game Night (2018), named by position rather than by the idiom — it is the only film committed to, set against ""a few other directions"", and the close names it against them (""just go with Game Night, or does one of the others…""). One lead, recognisable as the lead.",none — flag does not stand
01-empty__constrained__02.md,01-empty,constrained,02,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Game Night (2018); each of the three directions states the condition under which it wins, but places it after the title rather than opening on it (""…86 min, deadpan vampire mockumentary, if you want something weirder""). Every direction is conditioned; only the position differs. Weakest AC1 run of the sixty — recorded as such — and dismissed on the same ground the 0c0dce73 record dismissed its own position variants.",none — flag does not stand
01-empty__constrained__04.md,01-empty,constrained,04,AC1,commitment-cue-count,,,2 commitment cues,dismissed,"lead What We Do in the Shadows (2014); the extra cue opens the idea for the evening or restates the same lead, so exactly one film is committed to.",none — flag does not stand
02-new-mix__plain__01.md,02-new-mix,plain,01,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Paterson (2016); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
02-new-mix__plain__02.md,02-new-mix,plain,02,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Paterson (2016); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
02-new-mix__plain__03.md,02-new-mix,plain,03,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Paterson (2016); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
02-new-mix__plain__03.md,02-new-mix,plain,03,AC2,maximal-fit-claim,,,"ver/poet through a week of ordinary days. Nothing chases anyone, and by the end you know him completely. It's about as pure a fit for ""patient, no plot pressure"" as exists. A few directions depending on mood: - **Closer to that same stillness:** *Certified Copy* (2010) — two peo",dismissed,"the sentence measures the film against the Mix's own written criterion, which the clarified AC2 permits however warmly. No claim is made on the user's verdict, and no Movie carries a state in this fixture.",none — flag does not stand
02-new-mix__plain__04.md,02-new-mix,plain,04,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Paterson (2016); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
02-new-mix__taste-explicit__05.md,02-new-mix,taste-explicit,05,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Paterson (2016); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
03-state-rich__plain__01.md,03-state-rich,plain,01,AC1,unconditional-items,,,1 of 3 items open on a condition,dismissed,"lead Sicario (2015); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
03-state-rich__plain__01.md,03-state-rich,plain,01,AC4,novelty-against-state,Zodiac,loved,"ead that builds through competence rather than jump scares — right in your *Bleak Procedural* wheelhouse, and you haven't told me you've seen it. A few other directions, depending on mood: - **Closer to *Zodiac*'s patience** — *No Country for Old Men",dismissed,"the novelty claim belongs to the offered film Sicario (2015), which this run's snapshot does not hold. Zodiac is named beside it as evidence with its state (loved) stated correctly.",none — flag does not stand
03-state-rich__plain__04.md,03-state-rich,plain,04,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead No Country for Old Men (2007); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
03-state-rich__plain__05.md,03-state-rich,plain,05,AC1,unconditional-items,,,0 of 2 items open on a condition,dismissed,"lead Winter's Bone (2010); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
03-state-rich__taste-explicit__01.md,03-state-rich,taste-explicit,01,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead No Country for Old Men (2007); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
03-state-rich__taste-explicit__03.md,03-state-rich,taste-explicit,03,AC1,unconditional-items,,,0 of 2 items open on a condition,dismissed,"lead Winter's Bone (2010); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
03-state-rich__taste-explicit__04.md,03-state-rich,taste-explicit,04,AC1,unconditional-items,,,1 of 3 items open on a condition,dismissed,"lead No Country for Old Men (2007); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
03-state-rich__taste-explicit__05.md,03-state-rich,taste-explicit,05,AC1,unconditional-items,,,0 of 2 items open on a condition,dismissed,"lead Manhunter (1986); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
