run,fixture,prompt,run_no,ac,kind,flagged_title,flagged_state,quote,adjudication,reason,effect_on_verdict
01-empty__constrained__01.md,01-empty,constrained,01,AC1,unconditional-items,,,1 of 3 items open on a condition,dismissed,lead What We Do in the Shadows with 3 directions; 1 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
01-empty__constrained__03.md,01-empty,constrained,03,AC1,unconditional-items,,,2 of 3 items open on a condition,dismissed,lead What We Do in the Shadows with 3 directions; 3 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
01-empty__constrained__04.md,01-empty,constrained,04,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,lead What We Do in the Shadows with 3 directions; 3 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
01-empty__constrained__05.md,01-empty,constrained,05,AC1,unconditional-items,,,0 of 2 items open on a condition,dismissed,lead What We Do in the Shadows with 2 directions; 2 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
01-empty__plain__01.md,01-empty,plain,01,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,lead The Nice Guys with 3 directions; 3 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
02-new-mix__plain__01.md,02-new-mix,plain,01,AC1,unconditional-items,,,1 of 3 items open on a condition,dismissed,lead Paterson with 3 directions; 2 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
02-new-mix__plain__05.md,02-new-mix,plain,05,AC2,maximal-fit-claim,,,"-driving poet in New Jersey. Nothing happens, in the best way: it just watches a person notice his life. It's about as pure a match for ""patient, nothing chasing anyone"" as exists. - **If you want the same stillness but with more visual precision** — Columbus (2017): two strangers talkin",dismissed,"the comparison is against the Mix's own written criterion ""patient, nothing chasing anyone""; no claim that the user is known to like the film or that it is confirmed for them. Permitted under the clarified AC2.",none — flag does not stand
02-new-mix__taste-explicit__01.md,02-new-mix,taste-explicit,01,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,lead Paterson with 3 directions; 0 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
03-state-rich__plain__04.md,03-state-rich,plain,04,AC1,unconditional-items,,,1 of 3 items open on a condition,dismissed,lead Memoria with 3 directions; 1 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
03-state-rich__plain__05.md,03-state-rich,plain,05,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,lead No Country for Old Men with 3 directions; 3 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
03-state-rich__plain__05.md,03-state-rich,plain,05,AC4,novelty-against-state,Memories of Murder,loved,"s and nobody says — with the same unhurried, procedural dread you loved in Zodiac and Memories of Murder, and you haven't logged it yet. - **Want to stay right in that ache** — *Mystic River* (2003) is a close cousin: a small community,",dismissed,"novelty phrase ""you haven't logged"" belongs to the offered film No Country for Old Men, which carries no state; Memories of Murder is named beside it as evidence and its state is stated correctly. No stateful Movie is offered as new.",none — flag does not stand
03-state-rich__plain__05.md,03-state-rich,plain,05,AC4,novelty-against-state,Zodiac,loved,"s and nobody says — with the same unhurried, procedural dread you loved in Zodiac and Memories of Murder, and you haven't logged it yet. - **Want to stay right in that ache** — *Mystic River* (2003) is a close cousin: a small community,",dismissed,"novelty phrase ""you haven't logged"" belongs to the offered film No Country for Old Men, which carries no state; Zodiac is named beside it as evidence and its state is stated correctly. No stateful Movie is offered as new.",none — flag does not stand
03-state-rich__taste-explicit__01.md,03-state-rich,taste-explicit,01,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,lead Winter's Bone with 3 directions; 2 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
03-state-rich__taste-explicit__04.md,03-state-rich,taste-explicit,04,AC4,novelty-against-state,Memories of Murder,loved,"ixes — slow-burn dread that arrives in daylight, and a small-town mystery nobody will say out loud — and it's unseen for you. You've loved *Zodiac* and *Memories of Murder*, both built from the same Mystery + Bleak Procedural",dismissed,"novelty phrase ""unseen"" belongs to the offered film No Country for Old Men, which carries no state; Memories of Murder is named beside it as evidence and its state is stated correctly. No stateful Movie is offered as new.",none — flag does not stand
03-state-rich__taste-explicit__04.md,03-state-rich,taste-explicit,04,AC4,novelty-against-state,Zodiac,loved,"ixes — slow-burn dread that arrives in daylight, and a small-town mystery nobody will say out loud — and it's unseen for you. You've loved *Zodiac* and *Memories of Murder*, both built from the same Mystery + Bleak Procedural",dismissed,"novelty phrase ""unseen"" belongs to the offered film No Country for Old Men, which carries no state; Zodiac is named beside it as evidence and its state is stated correctly. No stateful Movie is offered as new.",none — flag does not stand
03-state-rich__taste-explicit__05.md,03-state-rich,taste-explicit,05,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,lead The Vast of Night with 3 directions; 2 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
04-contradictory__plain__03.md,04-contradictory,plain,03,AC4,novelty-against-state,Aftersun,loved,"r anywhere near it — and the real tension is entirely psychological, between two (three) people in one house. You haven't told me you've seen it, so it's fresh ground, and it sits right next to what you loved in *Arrival* and *Aftersun*: control, isol",dismissed,"novelty phrase ""You haven't told me you've seen"" belongs to the offered film Ex Machina, which carries no state; Aftersun is named beside it as evidence and its state is stated correctly. No stateful Movie is offered as new.",none — flag does not stand
04-contradictory__plain__03.md,04-contradictory,plain,03,AC4,novelty-against-state,Arrival,loved,"r anywhere near it — and the real tension is entirely psychological, between two (three) people in one house. You haven't told me you've seen it, so it's fresh ground, and it sits right next to what you loved in *Arrival* and *Aftersun*: control, isol",dismissed,"novelty phrase ""You haven't told me you've seen"" belongs to the offered film Ex Machina, which carries no state; Arrival is named beside it as evidence and its state is stated correctly. No stateful Movie is offered as new.",none — flag does not stand
04-contradictory__plain__03.md,04-contradictory,plain,03,AC4,novelty-against-state,Aftersun,loved,"entirely psychological, between two (three) people in one house. You haven't told me you've seen it, so it's fresh ground, and it sits right next to what you loved in *Arrival* and *Aftersun*: control, isolation, and a mind you can",dismissed,"novelty phrase ""fresh ground"" belongs to the offered film Ex Machina, which carries no state; Aftersun is named beside it as evidence and its state is stated correctly. No stateful Movie is offered as new.",none — flag does not stand
04-contradictory__plain__03.md,04-contradictory,plain,03,AC4,novelty-against-state,Arrival,loved,"entirely psychological, between two (three) people in one house. You haven't told me you've seen it, so it's fresh ground, and it sits right next to what you loved in *Arrival* and *Aftersun*: control, isolation, and a mind you can",dismissed,"novelty phrase ""fresh ground"" belongs to the offered film Ex Machina, which carries no state; Arrival is named beside it as evidence and its state is stated correctly. No stateful Movie is offered as new.",none — flag does not stand
04-contradictory__taste-explicit__01.md,04-contradictory,taste-explicit,01,AC1,commitment-cue-count,,,2 commitment cues,dismissed,"lead is named as Under the Skin; the cue count deviates because the commitment is phrased outside the idiom list or restated, not because a lead is missing or doubled.",none — flag does not stand
04-contradictory__taste-explicit__03.md,04-contradictory,taste-explicit,03,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,lead The Man from Earth with 3 directions; 2 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
05-exclusion-explicit__taste-explicit-named-mix__01.md,05-exclusion-explicit,taste-explicit-named-mix,01,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,lead Insomnia with 3 directions; 0 state their condition in a position the counter does not read. Shape is intact.,none — flag does not stand
05-exclusion-explicit__taste-explicit-named-mix__03.md,05-exclusion-explicit,taste-explicit-named-mix,03,AC4,novelty-against-state,Zodiac,liked,"can't outrun. It's slow-burn and clever rather than shown-to-you, in the same register as your *Zodiac*, and you haven't told me you've seen it. - **If you want something closer to *Zodiac*'s procedural itch** — *Memories of Murder* (2003), a serial",dismissed,"novelty phrase ""you haven't told me you've seen"" belongs to the offered film Insomnia, which carries no state; Zodiac is named beside it as evidence and its state is stated correctly. No stateful Movie is offered as new.",none — flag does not stand
05-exclusion-explicit__taste-explicit-named-mix__04.md,05-exclusion-explicit,taste-explicit-named-mix,04,AC4,novelty-against-state,The Vanishing,loved,"te questions on an island that's just slightly wrong — and it never once tips into violence for its own sake. You haven't logged it, and it sits right next to what you loved in *The Vanishing*: ordinary places curdling slowly. - **If you",dismissed,"novelty phrase ""You haven't logged"" belongs to the offered film The Wicker Man, which carries no state; The Vanishing is named beside it as evidence and its state is stated correctly. No stateful Movie is offered as new.",none — flag does not stand
