pair,fixture,prompt,run,fit,constraint,decisiveness,discovery,justified_pers,false_personalization,unsupported_claims
pair-01,04-contradictory,taste-explicit,03,B,tie,B,tie,B,none,none
pair-02,03-state-rich,plain,01,B,tie,B,B,B,none,none
pair-03,02-new-mix,plain,01,A,tie,A,A,A,none,none
pair-04,02-new-mix,taste-explicit,03,B,tie,B,tie,tie,none,none
pair-05,04-contradictory,plain,03,A,tie,A,A,A,none,none
pair-06,03-state-rich,plain,03,A,tie,A,A,A,none,none
pair-07,04-contradictory,taste-explicit,02,B,tie,B,tie,B,none,none
pair-08,05-exclusion-explicit,taste-explicit-named-mix,04,B,tie,B,tie,tie,none,none
pair-09,01-empty,constrained,05,B,tie,B,tie,tie,none,none
pair-10,06-exclusion-plain,unrelated-plain,02,B,tie,B,tie,tie,none,none
pair-11,03-state-rich,taste-explicit,03,B,tie,B,tie,B,none,none
pair-12,02-new-mix,plain,03,A,tie,A,A,A,none,none
pair-13,01-empty,constrained,04,A,tie,A,tie,tie,none,none
pair-14,06-exclusion-plain,unrelated-plain,03,B,tie,B,tie,tie,none,none
pair-15,03-state-rich,taste-explicit,04,B,tie,B,tie,B,none,none
pair-16,06-exclusion-plain,unrelated-plain,01,A,tie,A,tie,tie,none,none
pair-17,04-contradictory,taste-explicit,04,B,tie,B,tie,B,none,none
pair-18,02-new-mix,plain,05,B,tie,B,B,B,none,none
pair-19,05-exclusion-explicit,taste-explicit-named-mix,03,A,tie,A,tie,tie,none,none
pair-20,01-empty,plain,02,A,tie,A,A,A,none,none
pair-21,08-failure-ordinary,plain,02,A,tie,A,A,A,none,none
pair-22,08-failure-ordinary,plain,04,A,tie,A,A,A,none,none
pair-23,02-new-mix,plain,02,A,tie,A,A,A,none,none
pair-24,03-state-rich,taste-explicit,05,A,tie,A,tie,A,none,none
pair-25,03-state-rich,plain,05,B,tie,B,B,B,none,none
pair-26,03-state-rich,taste-explicit,02,A,tie,A,tie,A,none,none
pair-27,05-exclusion-explicit,taste-explicit-named-mix,01,A,tie,A,tie,tie,none,none
pair-28,01-empty,plain,01,B,tie,B,B,B,none,none
pair-29,07-failure-explicit,taste-explicit,05,tie,tie,tie,tie,tie,none,none
pair-30,08-failure-ordinary,plain,01,A,tie,A,A,A,none,none
pair-31,07-failure-explicit,taste-explicit,03,tie,tie,tie,tie,tie,none,none
pair-32,07-failure-explicit,taste-explicit,02,tie,tie,tie,tie,tie,none,none
pair-33,04-contradictory,plain,02,B,tie,B,B,B,none,none
pair-34,08-failure-ordinary,plain,05,A,tie,A,A,A,none,none
pair-35,02-new-mix,taste-explicit,04,A,tie,A,tie,tie,none,none
pair-36,01-empty,plain,03,B,tie,B,B,B,none,none
pair-37,07-failure-explicit,taste-explicit,01,tie,tie,tie,tie,tie,none,none
pair-38,01-empty,constrained,03,B,tie,B,tie,tie,none,none
pair-39,06-exclusion-plain,unrelated-plain,05,B,tie,B,tie,tie,none,none
pair-40,01-empty,constrained,02,B,tie,B,tie,tie,none,none
pair-41,03-state-rich,taste-explicit,01,A,tie,A,tie,A,none,none
pair-42,04-contradictory,plain,01,A,tie,A,A,A,none,none
pair-43,05-exclusion-explicit,taste-explicit-named-mix,05,B,tie,B,tie,tie,none,none
pair-44,08-failure-ordinary,plain,03,B,tie,B,B,B,none,none
pair-45,02-new-mix,plain,04,B,tie,B,B,B,none,none
pair-46,04-contradictory,plain,04,A,tie,A,A,A,none,none
pair-47,04-contradictory,plain,05,B,tie,B,B,B,none,none
pair-48,03-state-rich,plain,02,A,tie,A,A,A,none,none
pair-49,07-failure-explicit,taste-explicit,04,tie,tie,tie,tie,tie,none,none
pair-50,03-state-rich,plain,04,A,tie,A,A,A,none,none
pair-51,01-empty,plain,05,A,tie,A,A,A,none,none
pair-52,01-empty,constrained,01,A,tie,A,tie,tie,none,none
pair-53,02-new-mix,taste-explicit,01,A,tie,A,tie,tie,none,none
pair-54,04-contradictory,taste-explicit,01,B,tie,B,tie,B,none,none
pair-55,02-new-mix,taste-explicit,02,B,tie,B,tie,tie,none,none
pair-56,02-new-mix,taste-explicit,05,A,tie,A,tie,tie,none,none
pair-57,06-exclusion-plain,unrelated-plain,04,B,tie,B,tie,tie,none,none
pair-58,05-exclusion-explicit,taste-explicit-named-mix,02,A,tie,A,tie,tie,none,none
pair-59,01-empty,plain,04,B,tie,B,B,B,none,none
pair-60,04-contradictory,taste-explicit,05,B,tie,B,tie,B,none,none
