pair,source_run,side_A,side_B
pair-01,04-contradictory__taste-explicit__03.md,baseline f098fd5b,candidate 15d30c08
pair-02,03-state-rich__plain__01.md,baseline f098fd5b,candidate 15d30c08
pair-03,02-new-mix__plain__01.md,candidate 15d30c08,baseline f098fd5b
pair-04,02-new-mix__taste-explicit__03.md,baseline f098fd5b,candidate 15d30c08
pair-05,04-contradictory__plain__03.md,candidate 15d30c08,baseline f098fd5b
pair-06,03-state-rich__plain__03.md,candidate 15d30c08,baseline f098fd5b
pair-07,04-contradictory__taste-explicit__02.md,baseline f098fd5b,candidate 15d30c08
pair-08,05-exclusion-explicit__taste-explicit-named-mix__04.md,baseline f098fd5b,candidate 15d30c08
pair-09,01-empty__constrained__05.md,baseline f098fd5b,candidate 15d30c08
pair-10,06-exclusion-plain__unrelated-plain__02.md,baseline f098fd5b,candidate 15d30c08
pair-11,03-state-rich__taste-explicit__03.md,baseline f098fd5b,candidate 15d30c08
pair-12,02-new-mix__plain__03.md,candidate 15d30c08,baseline f098fd5b
pair-13,01-empty__constrained__04.md,candidate 15d30c08,baseline f098fd5b
pair-14,06-exclusion-plain__unrelated-plain__03.md,baseline f098fd5b,candidate 15d30c08
pair-15,03-state-rich__taste-explicit__04.md,baseline f098fd5b,candidate 15d30c08
pair-16,06-exclusion-plain__unrelated-plain__01.md,candidate 15d30c08,baseline f098fd5b
pair-17,04-contradictory__taste-explicit__04.md,baseline f098fd5b,candidate 15d30c08
pair-18,02-new-mix__plain__05.md,baseline f098fd5b,candidate 15d30c08
pair-19,05-exclusion-explicit__taste-explicit-named-mix__03.md,candidate 15d30c08,baseline f098fd5b
pair-20,01-empty__plain__02.md,candidate 15d30c08,baseline f098fd5b
pair-21,08-failure-ordinary__plain__02.md,candidate 15d30c08,baseline f098fd5b
pair-22,08-failure-ordinary__plain__04.md,candidate 15d30c08,baseline f098fd5b
pair-23,02-new-mix__plain__02.md,candidate 15d30c08,baseline f098fd5b
pair-24,03-state-rich__taste-explicit__05.md,candidate 15d30c08,baseline f098fd5b
pair-25,03-state-rich__plain__05.md,baseline f098fd5b,candidate 15d30c08
pair-26,03-state-rich__taste-explicit__02.md,candidate 15d30c08,baseline f098fd5b
pair-27,05-exclusion-explicit__taste-explicit-named-mix__01.md,candidate 15d30c08,baseline f098fd5b
pair-28,01-empty__plain__01.md,baseline f098fd5b,candidate 15d30c08
pair-29,07-failure-explicit__taste-explicit__05.md,baseline f098fd5b,candidate 15d30c08
pair-30,08-failure-ordinary__plain__01.md,candidate 15d30c08,baseline f098fd5b
pair-31,07-failure-explicit__taste-explicit__03.md,baseline f098fd5b,candidate 15d30c08
pair-32,07-failure-explicit__taste-explicit__02.md,candidate 15d30c08,baseline f098fd5b
pair-33,04-contradictory__plain__02.md,baseline f098fd5b,candidate 15d30c08
pair-34,08-failure-ordinary__plain__05.md,candidate 15d30c08,baseline f098fd5b
pair-35,02-new-mix__taste-explicit__04.md,candidate 15d30c08,baseline f098fd5b
pair-36,01-empty__plain__03.md,baseline f098fd5b,candidate 15d30c08
pair-37,07-failure-explicit__taste-explicit__01.md,candidate 15d30c08,baseline f098fd5b
pair-38,01-empty__constrained__03.md,baseline f098fd5b,candidate 15d30c08
pair-39,06-exclusion-plain__unrelated-plain__05.md,baseline f098fd5b,candidate 15d30c08
pair-40,01-empty__constrained__02.md,baseline f098fd5b,candidate 15d30c08
pair-41,03-state-rich__taste-explicit__01.md,candidate 15d30c08,baseline f098fd5b
pair-42,04-contradictory__plain__01.md,candidate 15d30c08,baseline f098fd5b
pair-43,05-exclusion-explicit__taste-explicit-named-mix__05.md,baseline f098fd5b,candidate 15d30c08
pair-44,08-failure-ordinary__plain__03.md,baseline f098fd5b,candidate 15d30c08
pair-45,02-new-mix__plain__04.md,baseline f098fd5b,candidate 15d30c08
pair-46,04-contradictory__plain__04.md,candidate 15d30c08,baseline f098fd5b
pair-47,04-contradictory__plain__05.md,baseline f098fd5b,candidate 15d30c08
pair-48,03-state-rich__plain__02.md,candidate 15d30c08,baseline f098fd5b
pair-49,07-failure-explicit__taste-explicit__04.md,candidate 15d30c08,baseline f098fd5b
pair-50,03-state-rich__plain__04.md,candidate 15d30c08,baseline f098fd5b
pair-51,01-empty__plain__05.md,candidate 15d30c08,baseline f098fd5b
pair-52,01-empty__constrained__01.md,candidate 15d30c08,baseline f098fd5b
pair-53,02-new-mix__taste-explicit__01.md,candidate 15d30c08,baseline f098fd5b
pair-54,04-contradictory__taste-explicit__01.md,baseline f098fd5b,candidate 15d30c08
pair-55,02-new-mix__taste-explicit__02.md,baseline f098fd5b,candidate 15d30c08
pair-56,02-new-mix__taste-explicit__05.md,candidate 15d30c08,baseline f098fd5b
pair-57,06-exclusion-plain__unrelated-plain__04.md,baseline f098fd5b,candidate 15d30c08
pair-58,05-exclusion-explicit__taste-explicit-named-mix__02.md,candidate 15d30c08,baseline f098fd5b
pair-59,01-empty__plain__04.md,baseline f098fd5b,candidate 15d30c08
pair-60,04-contradictory__taste-explicit__05.md,baseline f098fd5b,candidate 15d30c08
