pair,fixture,prompt,run,fit,constraint,decisiveness,discovery,justified_pers,false_personalization,unsupported_claims
pair-01,08-failure-ordinary,plain,02,A,tie,A,A,A,none,none
pair-02,08-failure-ordinary,plain,01,B,tie,B,B,B,none,none
pair-03,01-empty,plain,04,A,tie,A,A,A,none,none
pair-04,02-new-mix,taste-explicit,04,B,tie,B,tie,B,none,none
pair-05,06-exclusion-plain,unrelated-plain,05,A,tie,A,tie,A,none,none
pair-06,03-state-rich,plain,01,A,tie,A,A,A,none,none
pair-07,01-empty,constrained,04,B,tie,B,tie,B,none,none
pair-08,06-exclusion-plain,unrelated-plain,03,B,tie,B,tie,B,none,none
pair-09,06-exclusion-plain,unrelated-plain,02,B,tie,B,tie,B,none,none
pair-10,06-exclusion-plain,unrelated-plain,01,B,tie,B,tie,B,none,none
pair-11,01-empty,plain,03,B,tie,B,B,B,none,none
pair-12,02-new-mix,plain,04,B,tie,B,B,B,none,none
pair-13,02-new-mix,plain,05,A,tie,A,A,A,none,none
pair-14,04-contradictory,plain,04,A,tie,A,A,A,none,none
pair-15,03-state-rich,plain,02,A,tie,A,A,A,none,none
pair-16,08-failure-ordinary,plain,04,A,tie,A,A,A,none,none
pair-17,01-empty,constrained,01,B,tie,B,tie,B,none,none
pair-18,07-failure-explicit,taste-explicit,04,tie,tie,tie,tie,tie,none,none
pair-19,03-state-rich,plain,03,B,tie,B,B,B,none,none
pair-20,04-contradictory,plain,01,A,tie,A,A,A,none,none
pair-21,01-empty,plain,05,A,tie,A,A,A,none,none
pair-22,02-new-mix,taste-explicit,05,B,tie,B,tie,B,none,none
pair-23,03-state-rich,taste-explicit,01,B,tie,B,tie,B,none,none
pair-24,01-empty,plain,01,B,tie,B,B,B,none,none
pair-25,01-empty,constrained,02,A,tie,A,tie,A,none,none
pair-26,05-exclusion-explicit,taste-explicit-named-mix,05,A,tie,A,tie,A,none,none
pair-27,07-failure-explicit,taste-explicit,03,tie,tie,tie,tie,tie,none,none
pair-28,01-empty,constrained,05,B,tie,B,tie,B,none,none
pair-29,02-new-mix,plain,03,B,tie,B,B,B,none,none
pair-30,04-contradictory,plain,02,A,tie,A,A,A,none,none
pair-31,02-new-mix,taste-explicit,02,A,tie,A,tie,A,none,none
pair-32,08-failure-ordinary,plain,03,A,tie,A,A,A,none,none
pair-33,03-state-rich,taste-explicit,02,B,tie,B,tie,B,none,none
pair-34,03-state-rich,taste-explicit,05,B,tie,B,tie,B,none,none
pair-35,05-exclusion-explicit,taste-explicit-named-mix,01,A,tie,A,tie,A,none,none
pair-36,02-new-mix,taste-explicit,03,B,tie,B,tie,B,none,none
pair-37,03-state-rich,taste-explicit,03,A,tie,A,tie,A,none,none
pair-38,02-new-mix,plain,02,B,tie,B,B,B,none,none
pair-39,07-failure-explicit,taste-explicit,05,tie,tie,tie,tie,tie,none,none
pair-40,07-failure-explicit,taste-explicit,01,tie,tie,tie,tie,tie,none,none
pair-41,04-contradictory,plain,05,A,tie,A,A,A,none,none
pair-42,04-contradictory,taste-explicit,05,B,tie,B,tie,B,none,none
pair-43,04-contradictory,taste-explicit,01,B,tie,B,tie,B,none,none
pair-44,07-failure-explicit,taste-explicit,02,tie,tie,tie,tie,tie,none,none
pair-45,04-contradictory,taste-explicit,04,A,tie,A,tie,A,none,none
pair-46,04-contradictory,taste-explicit,02,B,tie,B,tie,B,none,none
pair-47,08-failure-ordinary,plain,05,B,tie,B,B,B,none,none
pair-48,03-state-rich,taste-explicit,04,A,tie,A,tie,A,none,none
pair-49,04-contradictory,taste-explicit,03,B,tie,B,tie,B,none,none
pair-50,06-exclusion-plain,unrelated-plain,04,A,tie,A,tie,A,none,none
pair-51,02-new-mix,taste-explicit,01,B,tie,B,tie,B,none,none
pair-52,04-contradictory,plain,03,A,tie,A,A,A,none,none
pair-53,03-state-rich,plain,04,B,tie,B,B,B,none,none
pair-54,01-empty,plain,02,B,tie,B,B,B,none,none
pair-55,05-exclusion-explicit,taste-explicit-named-mix,02,A,tie,A,tie,A,none,none
pair-56,02-new-mix,plain,01,A,tie,A,A,A,none,none
pair-57,03-state-rich,plain,05,A,tie,A,A,A,none,none
pair-58,05-exclusion-explicit,taste-explicit-named-mix,04,A,tie,A,tie,A,none,none
pair-59,01-empty,constrained,03,A,tie,A,tie,A,none,none
pair-60,05-exclusion-explicit,taste-explicit-named-mix,03,B,tie,B,tie,B,none,none
